"term1","term2","n","group","n_pair_b","keep"
"TP53","Breast cancer",2,"BC",0,TRUE
"TRANCE protein","progesterone",5,"BC",0,TRUE
"Transforming Growth Factor alpha","EGFR",11,"BC",0,TRUE
"Transforming Growth Factor alpha","EPHB2",1,"BC",0,TRUE
"Transforming Growth Factor alpha","ESR1",1,"BC",0,TRUE
"Transforming Growth Factor alpha","estrogen receptor alpha",1,"BC",0,TRUE
"Transforming Growth Factor alpha","MAPK1",1,"BC",0,TRUE
"Transforming Growth Factor alpha","Mitogen-Activated Protein Kinases",1,"BC",0,TRUE
"Transforming Growth Factor beta","Antibodies",4,"BC",0,TRUE
"Transforming Growth Factor beta","ERBB2",4,"BC",0,TRUE
"Transforming Growth Factor beta","estrogens",2,"BC",0,TRUE
"TRH","estrogens",2,"trait",0,TRUE
"TRH","Prolactin",6,"trait",3,TRUE
"Triiodothyronine","TGFA",2,"BC",0,TRUE
"Triiodothyronine","Transforming Growth Factor alpha",2,"BC",0,TRUE
"TUBB3","SPARC",1,"BC",0,TRUE
"Tumor Necrosis Factor-alpha","CD8B",2,"BC",0,TRUE
"Tumor Necrosis Factor-alpha","CD8B1",2,"BC",0,TRUE
"Urokinase","Alkaline Phosphatase",1,"BC",0,TRUE
"Urokinase","CAMP",1,"BC",0,TRUE
"Urokinase","IGF1",2,"BC",0,TRUE
"Urokinase","NF-kappa B",2,"BC",0,TRUE
"Urokinase","PLAUR",25,"BC",0,TRUE
"Vasoactive Intestinal Peptide","VEGFA",2,"BC",0,TRUE
"VDR","src-Family Kinases",2,"BC",0,TRUE
"VEGFA","Estrogen Receptor alpha",3,"BC",0,TRUE
"VEGFA","Estrogen Receptor beta",3,"BC",0,TRUE
"VEGFA","Gonadotropins",1,"trait",0,TRUE
"VEGFA","progesterone",2,"BC",0,TRUE
"VEGFA","TNF",1,"trait",0,TRUE
"Very low density lipoprotein","High Density Lipoproteins",1,"trait",0,TRUE
"very low density lipoprotein triglyceride","Adiponectin",1,"trait",0,TRUE
"Vitamin D3 Receptor","beta catenin",2,"BC",0,TRUE
"Vitamin D3 Receptor","Estrogen Receptor alpha",2,"trait",0,TRUE
"Vitamin D3 Receptor","Osteocalcin",1,"trait",0,TRUE
"Vitamin D3 Receptor","Ribonucleases",2,"BC",0,TRUE
"Vitamin D3 Receptor","src-Family Kinases",2,"BC",0,TRUE
